◇ injected env (62) from ../.env // tip: ⌁ auth for agents [www.vestauth.com]
contract,usuario_id,wallet,course_id,guide_id,guide_num,usdt,is_perfect,profile_score,status,hash,timestamp,block
V2,488,0x44629cbfb44530437bcf8176a2b43bfdde010f5a,103,106,2,0,true,68,success,0xc29f916ba6736384b4410349a3e8b426421d9a9bf91ce82130e14dc6ca308b0d,2026-02-03T16:49:11.000000Z,58236593
V2,490,0x937e0ba0e5b96fd52397772d4fc1ba773339d8d0,105,112,3,0,false,68,success,0x470fd58d7674f73db67b9e72639216f9ecffa80ac3f657908383009cfb3dd9e9,2026-02-03T02:01:06.000000Z,58183308
V2,492,0x3be451ed7782221bedba84febe79238adfe6cea3,2,11,1,0,true,100,success,0xa1e1fc8942afa6c94f9d992ce08c16f228418cb876700d3408b4f744d3845b7b,2026-01-28T18:04:01.000000Z,57722683
V2,546,0x7f5d82035d27e8244de54a5bdc9683279124313f,2,14,4,0,true,100,success,0x58c8a9f010de7d693fc9164463f828c1e6388e42fec9f84b248b8161ab0e0d88,2026-01-28T13:18:18.000000Z,57705540
V2,546,0x7f5d82035d27e8244de54a5bdc9683279124313f,2,13,3,0,true,100,success,0x2d6435730c146abe3136f84ec908726cb4f1d34239319aa1fe7286975dbf8698,2026-01-28T13:08:34.000000Z,57704956
V2,546,0x7f5d82035d27e8244de54a5bdc9683279124313f,2,11,1,0,true,100,success,0x31476823cb43c0392c8b3c6b34aa855769a51658de91517b2e12fcb0f2bdfa76,2026-01-28T13:01:37.000000Z,57704539
V2,546,0x7f5d82035d27e8244de54a5bdc9683279124313f,2,13,3,0,true,100,success,0x745d19c662612b4f8cc4c0bc391136d607256edcd01d6f58a434f29607973bbc,2026-01-27T12:57:08.000000Z,57617870
V2,488,0x44629cbfb44530437bcf8176a2b43bfdde010f5a,2,11,1,0,true,68,success,0x034e7aeac604eeb52c85683659896463ac285c98b5a7a885116a89c894d89d39,2026-01-26T22:47:15.000000Z,57566877
V2,488,0x44629cbfb44530437bcf8176a2b43bfdde010f5a,2,11,1,0,false,68,success,0xc7b29863715d9a333692885897a2c42fca0a31590bbce65e948ad4ad055b3efa,2026-01-26T22:46:40.000000Z,57566842
V2,488,0x44629cbfb44530437bcf8176a2b43bfdde010f5a,103,107,3,0,false,68,success,0xd6bc61e922bb0aa902fe4bb4987596c412f92905591817ef63e5377d624c7320,2026-01-26T22:16:53.000000Z,57565055
V2,546,0x7f5d82035d27e8244de54a5bdc9683279124313f,2,11,1,0,true,100,success,0x811210c6e2f3134f70301d2b112b6001cabe1285455361d34604a94de9b6ff1f,2026-01-26T09:58:22.000000Z,57520744
V2,488,0x44629cbfb44530437bcf8176a2b43bfdde010f5a,105,112,3,0,false,68,success,0x1138e2d5cd843aef3d3bb6162362b31b1088437fe6ea3bff179ba6a1c85ee861,2026-01-25T20:03:18.000000Z,57470640
V2,488,0x44629cbfb44530437bcf8176a2b43bfdde010f5a,2,11,1,0,true,68,success,0x9d3598ddfae5f148e6f4895399473872ab0ec9d69d8f2c57bde9ff759599a034,2026-01-25T19:40:16.000000Z,57469258
V2,546,0x7f5d82035d27e8244de54a5bdc9683279124313f,2,11,1,0,false,100,success,0x07257d11ff7a8beabb73b792128d0747e7e1a694b760c1dafb52beac31109070,2026-01-24T20:52:03.000000Z,57387165
